# Base prices in gold by economy type. Source as ports.tsv.
# buy '-'  = no port of that economy sells this good.
# sell '-' = every port of that economy already sells it, so unloading there
#            pays badly. That dash is the same-goods penalty, read directly
#            from the source table rather than invented.
good	economy	buy	sell
Coral	Mediterranean	-	280
Coral	N. Europe	-	275
Coral	Americas	98	270
Coral	West Africa	-	290
Coral	East Africa	-	260
Coral	Arabia	-	350
Coral	SE Asia	-	105
Coral	Far East	-	120
Ivory	Mediterranean	-	300
Ivory	N. Europe	-	350
Ivory	Americas	-	220
Ivory	West Africa	126	200
Ivory	East Africa	105	195
Ivory	Arabia	-	290
Ivory	SE Asia	-	120
Ivory	Far East	-	140
Pearl	Mediterranean	-	220
Pearl	N. Europe	-	220
Pearl	Americas	-	175
Pearl	West Africa	-	170
Pearl	East Africa	-	160
Pearl	Arabia	-	230
Pearl	SE Asia	-	120
Pearl	Far East	170	-
Cotton	Mediterranean	87	80
Cotton	N. Europe	-	110
Cotton	Americas	22	-
Cotton	West Africa	30	-
Cotton	East Africa	25	-
Cotton	Arabia	20	-
Cotton	SE Asia	15	-
Cotton	Far East	-	42
Raw Silk	Mediterranean	-	120
Raw Silk	N. Europe	-	130
Raw Silk	Americas	-	50
Raw Silk	West Africa	-	40
Raw Silk	East Africa	-	40
Raw Silk	Arabia	-	80
Raw Silk	SE Asia	-	85
Raw Silk	Far East	30	90
Wool	Mediterranean	45	65
Wool	N. Europe	48	55
Wool	Americas	-	21
Wool	West Africa	-	12
Wool	East Africa	-	16
Wool	Arabia	20	-
Wool	SE Asia	-	16
Wool	Far East	-	10
Cloth	Mediterranean	60	-
Cloth	N. Europe	62	-
Cloth	Americas	-	80
Cloth	West Africa	-	84
Cloth	East Africa	-	89
Cloth	Arabia	-	85
Cloth	SE Asia	30	16
Cloth	Far East	-	92
Silk	Mediterranean	-	140
Silk	N. Europe	-	150
Silk	Americas	-	50
Silk	West Africa	-	45
Silk	East Africa	-	48
Silk	Arabia	-	50
Silk	SE Asia	-	70
Silk	Far East	45	-
Firearms	Mediterranean	100	-
Firearms	N. Europe	105	-
Firearms	Americas	-	170
Firearms	West Africa	-	140
Firearms	East Africa	-	190
Firearms	Arabia	-	230
Firearms	SE Asia	-	205
Firearms	Far East	-	240
Wood	Mediterranean	-	60
Wood	N. Europe	33	58
Wood	Americas	-	18
Wood	West Africa	-	35
Wood	East Africa	28	-
Wood	Arabia	-	60
Wood	SE Asia	-	10
Wood	Far East	-	15
Porcelain	Mediterranean	60	105
Porcelain	N. Europe	60	-
Porcelain	Americas	-	45
Porcelain	West Africa	-	40
Porcelain	East Africa	-	35
Porcelain	Arabia	-	40
Porcelain	SE Asia	-	35
Porcelain	Far East	25	-
Artwork	Mediterranean	280	400
Artwork	N. Europe	-	400
Artwork	Americas	-	300
Artwork	West Africa	-	30
Artwork	East Africa	-	45
Artwork	Arabia	160	150
Artwork	SE Asia	-	160
Artwork	Far East	140	-
Carpet	Mediterranean	-	320
Carpet	N. Europe	-	340
Carpet	Americas	-	115
Carpet	West Africa	-	140
Carpet	East Africa	-	120
Carpet	Arabia	70	-
Carpet	SE Asia	-	75
Carpet	Far East	-	50
Tobacco	Mediterranean	-	95
Tobacco	N. Europe	-	120
Tobacco	Americas	20	-
Tobacco	West Africa	-	55
Tobacco	East Africa	-	50
Tobacco	Arabia	-	60
Tobacco	SE Asia	-	45
Tobacco	Far East	-	55
Cacao	Mediterranean	-	130
Cacao	N. Europe	-	145
Cacao	Americas	28	-
Cacao	West Africa	-	60
Cacao	East Africa	-	55
Cacao	Arabia	-	70
Cacao	SE Asia	-	50
Cacao	Far East	-	60
Dyewood	Mediterranean	-	150
Dyewood	N. Europe	-	165
Dyewood	Americas	35	-
Dyewood	West Africa	40	-
Dyewood	East Africa	-	70
Dyewood	Arabia	-	90
Dyewood	SE Asia	-	60
Dyewood	Far East	-	75
Salt	Mediterranean	8	-
Salt	N. Europe	-	22
Salt	Americas	-	30
Salt	West Africa	6	-
Salt	East Africa	-	28
Salt	Arabia	-	20
Salt	SE Asia	-	25
Salt	Far East	-	18
Gum Arabic	Mediterranean	-	90
Gum Arabic	N. Europe	-	100
Gum Arabic	Americas	-	40
Gum Arabic	West Africa	25	-
Gum Arabic	East Africa	-	45
Gum Arabic	Arabia	30	-
Gum Arabic	SE Asia	-	40
Gum Arabic	Far East	-	50
Ambergris	Mediterranean	-	600
Ambergris	N. Europe	-	640
Ambergris	Americas	-	300
Ambergris	West Africa	-	260
Ambergris	East Africa	210	-
Ambergris	Arabia	-	520
Ambergris	SE Asia	-	330
Ambergris	Far East	-	480
Tortoiseshell	Mediterranean	-	190
Tortoiseshell	N. Europe	-	205
Tortoiseshell	Americas	-	90
Tortoiseshell	West Africa	-	80
Tortoiseshell	East Africa	55	-
Tortoiseshell	Arabia	-	150
Tortoiseshell	SE Asia	48	-
Tortoiseshell	Far East	-	175
Frankincense	Mediterranean	-	160
Frankincense	N. Europe	-	175
Frankincense	Americas	-	70
Frankincense	West Africa	-	60
Frankincense	East Africa	45	-
Frankincense	Arabia	38	-
Frankincense	SE Asia	-	80
Frankincense	Far East	-	130
Coffee	Mediterranean	-	115
Coffee	N. Europe	-	135
Coffee	Americas	-	55
Coffee	West Africa	-	48
Coffee	East Africa	-	50
Coffee	Arabia	22	-
Coffee	SE Asia	-	60
Coffee	Far East	-	70
Sandalwood	Mediterranean	-	175
Sandalwood	N. Europe	-	185
Sandalwood	Americas	-	75
Sandalwood	West Africa	-	65
Sandalwood	East Africa	60	-
Sandalwood	Arabia	-	140
Sandalwood	SE Asia	50	-
Sandalwood	Far East	-	200
Camphor	Mediterranean	-	210
Camphor	N. Europe	-	225
Camphor	Americas	-	85
Camphor	West Africa	-	70
Camphor	East Africa	-	90
Camphor	Arabia	-	160
Camphor	SE Asia	65	-
Camphor	Far East	-	230
Tea	Mediterranean	-	155
Tea	N. Europe	-	180
Tea	Americas	-	70
Tea	West Africa	-	55
Tea	East Africa	-	60
Tea	Arabia	-	95
Tea	SE Asia	-	65
Tea	Far East	35	-
Jade	Mediterranean	-	380
Jade	N. Europe	-	395
Jade	Americas	-	150
Jade	West Africa	-	120
Jade	East Africa	-	130
Jade	Arabia	-	300
Jade	SE Asia	-	260
Jade	Far East	120	-
Amber	Mediterranean	-	290
Amber	N. Europe	95	-
Amber	Americas	-	130
Amber	West Africa	-	110
Amber	East Africa	-	120
Amber	Arabia	-	330
Amber	SE Asia	-	250
Amber	Far East	-	310
Iron	Mediterranean	55	-
Iron	N. Europe	40	-
Iron	Americas	-	120
Iron	West Africa	-	130
Iron	East Africa	-	125
Iron	Arabia	-	110
Iron	SE Asia	-	115
Iron	Far East	-	95
Glassware	Mediterranean	85	-
Glassware	N. Europe	-	130
Glassware	Americas	-	190
Glassware	West Africa	-	210
Glassware	East Africa	-	200
Glassware	Arabia	-	165
Glassware	SE Asia	-	180
Glassware	Far East	-	145
